818942405281980417	No mames este pinche dolor que pedo? ya mejor llévame Diosito.	N
818963123646373892	@leomall2018 Según yo era como aviso, pero ahora sí ya es oficial	NEU
818998133694697472	@benshorts a juzgar por mis comportamientos autodestructivos en las relaciones, aún quiero serlo	N
818822556090105857	#BuenosDias mundo Twittero ya desperté y estoy listo para vivir un dia mas #ExcelenteMartes	P
818993011514372098	No pude resolver el rompecabezas en Los rios de Alicia y ahora muero de tristeza	N
818645278131568640	o sea ... me urge un Dr. @Rocktor101 (escuchó un programa de males digestivos y así)	N
819050320177152000	@natyamezcua hay pues hay que ver que hacemos para vernos, te extraño, no quiero que te alejes	NEU
817393151115689985	@Eudemonologia87 yo igual y ni así. Este año seré tipo marasalvatrucha para ver si así me traen algo.	N
818688468687720448	@shakira no te puedo llevar en mi bicicleta. Me caí y está descompuesta. Happy to walk with you, tho.	N
794072733487349760	@MartinCaligaris Tu forma tan linda de decir: Borris Chavez!!! Gracias por el saludo, ya prontito nos vemos, abrazos México papá!!!	P
818995788814618624	Mi novio me vigila en Twitter y ahora todo lo que diga puede ser (y será) usado en mi contra ¡Ayuda!	N
817469764645830659	@Pagano656 #NoaNoaStyle es uno de los mejores luchadores que ha llegado a @luchalibreaaa Yo tengo el gusto de seguirlo hace 4 años	P
818627570623090688	@Tribuna_I Si, pero yo lo veo otros 6 meses más en Pachuca, tiene calidad el Muchacho Y ayer demostró que si está listo	P
816952063779143680	4:18 AM. Que gran dilema. ¿Despertar a mamá para que me baje a abrirme o dejar que siga durmiendo? Pd. Venga saliendo del trabajo	NEU
815041547540594688	—¿Y la novia mijo? —El concepto de pareja es arcaico y reduccionista, pienso que la mujer debe tener libertad para pod —Nadie te pela —No	N
811285883857096704	Ya estoy en mi casa maigues, no morí. Bien pinche adolorida pero ya en mi casita. Pd. Me quieren llevar al rancho pero yo no quiero	N
808560754559516676	@TrusaRota ha si ya vi si se ve buena!!! La pondré a ver si no me duermo dura un buen jaja pero se ve buena!! Mil gracias	P
813587190772924417	Desde que tengo uso de razón todos mis fin de año han sido en casa de mi abuelita, este año será distinto y triste, te extraño tanto abu	N
792813732992733184	Ayer un canadiense me preguntó que a que hora abrían el local de arriba, le dije que a las 10, eran las 10:10 y él dijo "oh, mexican 10"	N
819120929846530048	Estoy muy celoso. Pinche Carlos.	N
818953974753566720	Extraño los videos de los GMR	N
818909107952451585	Lo bueno que nadamas es esta semana	NEU
819000467577446401	Puta madre lo que me faltaba enfermarme #QuieroLlorar	N
819093294546305024	Pobresita jajajaja, no no tendras su amistad de nuevo	N
819126247590608897	Pagaré una maleta extra para todos nuestros nuevos momentos juntos	P
818889033577336832	Que difícil es tomar una decisión cuando no es para ti	N
818900495557423104	Probablemente un compañero renuncie en los próximos días, la perrada se desintegra	N
819027714497777664	Me atropellaron, y me duele mucho mi pierna Estoy bien pinche salado VV	N
818889610554023937	@HugoLpzC jajaja tonto! Ya se, ya la próxima semana el viernes, lo más seguro!	NEU
817475577955438593	Lo malo de ser flaco es que no puedo ir todos los días al gym.	N
818683591962062850	Si sabían que Broca y Wernicke son mejores amigos, cuando Wernicke se confunde, Broca se traba,	NEU
818773396318277633	Si quieren que aprenda algo de eso dejen esa materia sola un semestre completo, si no como	NEU
819116619070775297	Ya me estoy saboreando la hamburguesa que me pienso comer el jueves JAJAJAJA ya se k gorda Bye	P
